Day,Cash On Hand
0,3500000
1,3487400
2,3405600
3,2636290
4,1927230
5,418045
6,235988
7,119841
8,250871
9,288342
10,740954
11,429424
12,1400617
13,227700
14,279367
15,25994
16,1468519
17,1244541
18,521310
19,262592
20,258036
21,227890
22,782009
23,276793
24,295946
25,450482
26,544148
27,3158742
28,3036997
29,2590989
30,1411064
31,1395000
32,157629
33,93022
34,611001
35,1150583
36,2886053
37,5012077
38,5472909
39,8442446
40,8192842
41,8487741
42,8633067
43,7590703
44,7184270
45,7112946
46,6199070
47,6197568
48,7312420
49,8018418
50,6132348
51,2589831
52,480338
53,668136
54,1206399
55,3486652
56,5462915
57,5746007
58,5643453
59,6113508
60,6893486
61,6721991
62,6687050
63,6999240
64,7817041
65,6575045
66,6873491
67,7128637
68,6900052
69,7464305
70,8318478
71,8738454
72,10247989
73,10634432
74,9839950
75,9790884
76,9153668
77,9745115
78,11481469
79,6319623
80,3942091
81,3762056
82,903406
83,837274
84,16271
85,689364
86,305272
87,294497
88,150915
89,119795
90,648370
