[REAL TIME CURRENCY CONVERSION RATE] USD1 = SGD1.37675000
[CASH DEFICIT] Day: 1, AMOUNT: SGD9151.98
[CASH DEFICIT] Day: 2, AMOUNT: SGD59415.29
[CASH DEFICIT] Day: 3, AMOUNT: SGD558787.0
[CASH DEFICIT] Day: 4, AMOUNT: SGD515024.52
[CASH DEFICIT] Day: 5, AMOUNT: SGD1096193.93
[CASH DEFICIT] Day: 6, AMOUNT: SGD132236.79
[CASH DEFICIT] Day: 7, AMOUNT: SGD84363.18
[CASH DEFICIT] Day: 11, AMOUNT: SGD226279.28
[CASH DEFICIT] Day: 13, AMOUNT: SGD851946.25
[CASH DEFICIT] Day: 15, AMOUNT: SGD184037.04
[CASH DEFICIT] Day: 17, AMOUNT: SGD162686.04
[CASH DEFICIT] Day: 18, AMOUNT: SGD525317.6
[CASH DEFICIT] Day: 19, AMOUNT: SGD187919.37
[CASH DEFICIT] Day: 20, AMOUNT: SGD3309.24
[CASH DEFICIT] Day: 21, AMOUNT: SGD21896.5
[CASH DEFICIT] Day: 23, AMOUNT: SGD366962.78
[CASH DEFICIT] Day: 28, AMOUNT: SGD88429.27
[CASH DEFICIT] Day: 29, AMOUNT: SGD323957.15
[CASH DEFICIT] Day: 30, AMOUNT: SGD857036.49
[CASH DEFICIT] Day: 31, AMOUNT: SGD11668.06
[CASH DEFICIT] Day: 32, AMOUNT: SGD898762.31
[CASH DEFICIT] Day: 33, AMOUNT: SGD46927.18
[CASH DEFICIT] Day: 40, AMOUNT: SGD181299.43
[CASH DEFICIT] Day: 43, AMOUNT: SGD757119.3
[CASH DEFICIT] Day: 44, AMOUNT: SGD295211.91
[CASH DEFICIT] Day: 45, AMOUNT: SGD51806.07
[CASH DEFICIT] Day: 46, AMOUNT: SGD663792.26
[CASH DEFICIT] Day: 47, AMOUNT: SGD1090.98
[CASH DEFICIT] Day: 50, AMOUNT: SGD1369943.7
[CASH DEFICIT] Day: 51, AMOUNT: SGD2573101.15
[CASH DEFICIT] Day: 52, AMOUNT: SGD1532226.62
[CASH DEFICIT] Day: 58, AMOUNT: SGD74489.92
[CASH DEFICIT] Day: 61, AMOUNT: SGD124565.1
[CASH DEFICIT] Day: 62, AMOUNT: SGD25379.34
[CASH DEFICIT] Day: 65, AMOUNT: SGD902121.67
[CASH DEFICIT] Day: 68, AMOUNT: SGD166032.32
[CASH DEFICIT] Day: 74, AMOUNT: SGD577070.63
[CASH DEFICIT] Day: 75, AMOUNT: SGD35639.01
[CASH DEFICIT] Day: 76, AMOUNT: SGD462840.75
[CASH DEFICIT] Day: 79, AMOUNT: SGD3749297.99
[CASH DEFICIT] Day: 80, AMOUNT: SGD1726916.29
[CASH DEFICIT] Day: 81, AMOUNT: SGD130768.11
[CASH DEFICIT] Day: 82, AMOUNT: SGD2076375.52
[CASH DEFICIT] Day: 83, AMOUNT: SGD48034.87
[CASH DEFICIT] Day: 84, AMOUNT: SGD596334.12
[CASH DEFICIT] Day: 86, AMOUNT: SGD278984.57
[CASH DEFICIT] Day: 87, AMOUNT: SGD7826.4
[CASH DEFICIT] Day: 88, AMOUNT: SGD104290.54
[CASH DEFICIT] Day: 89, AMOUNT: SGD22603.96
[PROFIT DEFICIT] DAY: 2, AMOUNT: SGD59415.29
[PROFIT DEFICIT] DAY: 3, AMOUNT: SGD130241.51
[PROFIT DEFICIT] DAY: 4, AMOUNT: SGD93742.51
[PROFIT DEFICIT] DAY: 5, AMOUNT: SGD12993.64
[PROFIT DEFICIT] DAY: 6, AMOUNT: SGD87711.64
[PROFIT DEFICIT] DAY: 7, AMOUNT: SGD44251.32
[PROFIT DEFICIT] DAY: 8, AMOUNT: SGD12575.27
[PROFIT DEFICIT] DAY: 15, AMOUNT: SGD72528.05
[PROFIT DEFICIT] DAY: 19, AMOUNT: SGD59665.16
[PROFIT DEFICIT] DAY: 20, AMOUNT: SGD140695.11
[PROFIT DEFICIT] DAY: 21, AMOUNT: SGD78581.45
[PROFIT DEFICIT] DAY: 28, AMOUNT: SGD2378.07
[PROFIT DEFICIT] DAY: 30, AMOUNT: SGD56853.46
[PROFIT DEFICIT] DAY: 44, AMOUNT: SGD71877.97
[PROFIT DEFICIT] DAY: 51, AMOUNT: SGD74874.89
[PROFIT DEFICIT] DAY: 52, AMOUNT: SGD39740.69
[PROFIT DEFICIT] DAY: 53, AMOUNT: SGD133818.05
[PROFIT DEFICIT] DAY: 67, AMOUNT: SGD12204.83
[PROFIT DEFICIT] DAY: 68, AMOUNT: SGD144013.8
[PROFIT DEFICIT] DAY: 75, AMOUNT: SGD21485.38
[PROFIT DEFICIT] DAY: 83, AMOUNT: SGD5584.17
[HIGHEST OVERHEADS] Depreciation Expense: SGD3486471.76
